model,cv_accuracy,cv_f1_macro,cv_f1_weighted,train_time_s,inference_latency_ms,model_size_kb
LinearSVM,0.9106,0.9116,0.912,0.3065,3.882,793.3
LogisticRegression,0.8871,0.8857,0.8861,0.0481,0.372,191.0
MultinomialNB,0.8659,0.8613,0.8616,0.004,0.319,338.8
KNN,0.7718,0.7669,0.7673,0.0039,0.767,76.0
