model,accuracy,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,train_time_s
SVM_Linear_SVC,0.9558823529411765,0.9458146791480124,0.9558823529411765,0.954884004884005,0.9596560846560845,0.9500000000000001,0.2592809200286865
LogisticRegression,0.9117647058823529,0.9013461846795181,0.9117647058823529,0.9113647790118379,0.9115079365079366,0.9064814814814814,0.10466599464416504
MultinomialNB,0.8823529411764706,0.8477072310405644,0.8823529411764706,0.8807189542483661,0.8511904761904762,0.8694444444444445,0.0
KNN,0.8382352941176471,0.8008297258297259,0.8382352941176471,0.8368124522536288,0.8166666666666668,0.8120370370370371,0.0
